Dataset name,Dataset %,Training sample size,Random seed,Number of features,Classifier,MCC,Training time,TR-CPU%,Testing time,TE-CPU%
IoTID20,40.0,167709,610,82,RF,0.9965657401802941,17.636056014045607,25.189371877711086,1.6678471619961783,24.980586972024078
IoTID20,40.0,167709,610,82,DT,0.9985880878586445,1.722932878008578,24.940999348951216,0.024394142965320498,24.940999348958265
IoTID20,40.0,167709,610,82,AdaBoost,1.0,17.978455892996863,24.759252610599262,1.5212469779653475,24.538167317705035
IoTID20,40.0,167709,610,82,LogReg,0.8290566431237234,14.601985869987402,25.18249599626008,0.01606661599362269,25.885009765625
IoTID20,40.0,167709,610,82,Ridge,0.514347104808817,0.280490652017761,25.885009765625,0.02231732098152861,25.885009765625
IoTID20,50.0,209637,233,8,RF,0.0,6.851222780009266,25.801196353576373,1.008736339979805,25.68577395043529
IoTID20,50.0,209637,233,8,DT,-0.03864996565831607,0.2516787489876151,25.67138671875,0.009964139957446605,25.67138671875
IoTID20,50.0,209637,233,8,AdaBoost,-0.02310947249156566,3.5150395490345545,25.67138671875,0.6738391470280476,25.606611517450457
IoTID20,50.0,209637,233,8,LogReg,-0.016576632793098036,0.3700429919990711,25.555419921875,0.00318953295936808,25.555419921875
IoTID20,50.0,209637,233,8,Ridge,-0.02280554993172605,0.05019473604625091,25.555419921875,0.002952356997411698,25.555419921875
IoTID20,50.0,209637,233,16,RF,0.0,12.078595811035484,25.460829620812824,1.1641322370269336,25.34586588541257
IoTID20,50.0,209637,233,16,DT,0.012812081941647435,0.617952922009863,25.344809890875197,0.015617272001691163,25.254313151041586
IoTID20,50.0,209637,233,16,AdaBoost,-0.09034745552158036,4.796896880026907,25.2543131510285,0.8888431679806672,25.158846469548795
IoTID20,50.0,209637,233,16,LogReg,0.06995854764967967,1.456906134961173,25.140380859375,0.00456140999449417,25.140380859375
IoTID20,50.0,209637,233,16,Ridge,0.0614341049373176,0.06285471102455631,25.140380859375,0.004639336024411023,25.140380859375
IoTID20,50.0,209637,233,24,RF,0.0,14.636174126993865,24.99352904770549,1.0930677839787677,24.845377604160802
